instruction,context,response,category
Do peritoneal fluid concentrations of the cytokine RANTES correlate with the severity of endometriosis?,"Endometriosis is a common gynecologic disorder in which the concentration and activation of peritoneal macrophages are increased. The goal of this study was to quantify pelvic fluid concentrations of two cytokines involved in macrophage recruitment and activation. A case-control study of women undergoing pelvic surgery was conducted by collecting peritoneal fluid from 12 women without evidence of endometriosis (controls), 12 with mild, and 12 with moderate to severe endometriosis. Concentrations of RANTES and interferon gamma, soluble cytokines known to recruit and activate macrophages, were quantified by enzyme-linked immunosorbent assays. Pelvic fluid concentrations of RANTES are elevated in women with endometriosis and the levels correlate with the severity of disease. By contrast, concentrations of interferon gamma appear unaffected by the presence of or severity of endometriosis.","The findings indicate that RANTES, a cytokine with potent chemotactic activity for human monocytes, may play an important role in the recruitment of peritoneal macrophages in endometriosis.",closed_qa
Do impairments of the medial olivocochlear system increase the risk of noise-induced auditory neuropathy in laboratory mice?,"Impairments of the medial olivocochlear system (MOCS) increase the risk of environmentally induced auditory neuropathy spectrum disorder (ANSD). ANSD is a problem in the neural transmission of auditory information that accounts for 10% to 15% of the cases of pediatric hearing loss. The underlying mechanisms of the disorder remain poorly understood, but noise exposure is an important risk factor. The goal of this study was to identify environmental conditions and genetic predispositions that lead to ANSD. Our approach was based on the assumption that noise induces ANSD by impeding the functional maturation of the brain's sound coding pathways. Because the MOCS adjusts the sensitivity of the inner ear to noise, impairments of this feedback are predicted to increase the disruptive effects of environmental exposures. An animal model of ANSD was created by rearing mice in noise. MOCS protection was assessed by comparing the incidence of noise-induced ANSD among knockout mice lacking feedback and wild-type (WT) controls. The mice were screened for ANSD with distortion product otoacoustic emissions, auditory brainstem responses, and behavioral measures of gap detection. Single-unit recording procedures were used to link these deficits to impaired synaptic transmission in the ventral cochlear nucleus. ANSD manifested in noise-reared mice as intact distortion product otoacoustic emissions, abnormal auditory brainstem responses, and impaired gap detection. The phenotype was not observed among quiet-reared WT mice but was occasionally noted among noise-reared WT mice. The incidence of ANSD significantly increased among knockout mice, especially when they were reared in noise.",Noise promotes ANSD by altering the functional maturation of the brain's temporal pathways. Noise-induced impairments are reduced by the sound-attenuating effects of the MOCS. Noise levels do not need to be unnaturally loud to constitute significant risk in MOCS-compromised individuals.,closed_qa
Does indoxyl sulfate reduce superoxide scavenging activity in the kidneys of normal and uremic rats?,"Indoxyl sulfate (IS) is a uremic toxin that accelerates the progression of chronic renal failure (CRF). This study aimed at determining whether IS impairs antioxidative systems (redox status) in the kidney. IS was orally administered to normal and subtotally nephrectomized (three fourths and five sixths) rats (CRF rats) for 2 weeks. By use of in vivo and ex vivo electron spin resonance spectroscopy, the kidney redox status was evaluated using carbamoyl-PROXYL as a radical spin probe in living rats, and the kidney superoxide scavenging activity was measured. Immunohistochemistry of superoxide dismutase (SOD) in the kidney was performed. Administration of IS increased serum and kidney levels of IS and serum creatinine and decreased creatinine clearance. CRF rats showed reduced spin reduction rate, prolonged half-life of the spin probe, and reduced superoxide scavenging activity and SOD-positive areas in the kidney as compared with normal rats. Administration of IS further reduced radical spin reduction rate, prolonged half-life of the spin probe, and reduced superoxide scavenging activity and SOD-positive areas in the kidneys.","Administration of IS reduced superoxide scavenging activity in the kidneys of normal and CRF rats. Thus, the nephrotoxicity of IS may be induced by impairing the antioxidative systems in the kidney.",closed_qa
Does depolarization-evoked secretion require two vicinal transmembrane cysteines of syntaxin 1A?,"The interactions of the voltage-gated Ca(2+) channel (VGCC) with syntaxin 1A (Sx 1A), Synaptosome-associated protein of 25 kD (SNAP-25), and synaptotagmin, couple electrical excitation to evoked secretion. Two vicinal Cys residues, Cys 271 and Cys 272 in the Sx 1A transmembrane domain, are highly conserved and participate in modulating channel kinetics. Each of the Sx1A Cys mutants, differently modify the kinetics of Cav1.2, and neuronal Cav2.2 calcium channel. We examined the effects of various Sx1A Cys mutants and the syntaxin isoforms 2, 3, and 4 each of which lack vicinal Cys residues, on evoked secretion, monitoring capacitance transients in a functional release assay. Membrane capacitance in Xenopus oocytes co-expressing Cav1.2, Sx1A, SNAP-25 and synaptotagmin, which is Bot C- and Bot A-sensitive, was elicited by a double 500 ms depolarizing pulse to 0 mV. The evoked-release was obliterated when a single Cys Sx1A mutant or either one of the Sx isoforms were substituted for Sx 1A, demonstrating the essential role of vicinal Cys residues in the depolarization mediated process. Protein expression and confocal imaging established the level of the mutated proteins in the cell and their targeting to the plasma membrane.","We propose a model whereby the two adjacent transmembranal Cys residues of Sx 1A, lash two calcium channels. Consistent with the necessity of a minimal fusion complex termed the excitosome, each Sx1A is in a complex with SNAP-25, Syt1, and the Ca(2+) channel. A Hill coefficient >2 imply that at least three excitosome complexes are required for generating a secreting hetero-oligomer protein complex. This working model suggests that a fusion pore that opens during membrane depolarization could be lined by alternating transmembrane segments of Sx1A and VGCC. The functional coupling of distinct amino acids of Sx 1A with VGCC appears to be essential for depolarization-evoked secretion.",closed_qa
Does ethanol binging exacerbate sinusoidal endothelial and parenchymal injury elicited by acetaminophen?,"The pathophysiology of binge drinking of ethanol and its potentiation of acetaminophen (APAP) toxicity has received very little attention. To evaluate if ethanol binging sensitizes hepatic sinusoidal endothelial cells (SEC) and liver to APAP toxicity. The histopathological responses to APAP were evaluated in the livers of mice gavaged with APAP alone, following a single, week-end type ethanol binge (4 g/kg every 12 h x 5 doses) or three weekly binges. Six hours after APAP, 600 mg/kg elicited severe centrilobular necrosis together with hemorrhagic congestion and infiltration of erythrocytes into the Space of Disse through large gaps that had formed in SEC. There was no evidence of parenchymal injury at 2 h, but gaps already were formed through the cytoplasm of the SEC by coalescence of fenestrae. A single binge followed by 300 mg/kg APAP elicited SEC and parenchymal injury equivalent to 600 mg/kg APAP alone at 2 and 6 h. The responses were exacerbated following three binges. Lower glutathione levels in the liver were shown in ethanol-binged animals.",Ethanol binging increases APAP hepatotoxicity. SEC are an early target for APAP-induced injury and ethanol binging enhances the SEC injury prior to evidence of parenchymal cell injury.,closed_qa
Does a novel assay uncover an unexpected role for SR-BI in LDL transcytosis?,"Retention of low-density lipoprotein (LDL) cholesterol beneath the arterial endothelium initiates an inflammatory response culminating in atherosclerosis. Since the overlying endothelium is healthy and intact early on, it is likely that LDL passes through endothelial cells by transcytosis. However, technical challenges have made confirming this notion and elucidating the mechanisms of transcytosis difficult. We developed a novel assay for measuring LDL transcytosis in real time across coronary endothelial cell monolayers; we used this approach to identify the receptor involved. Murine aortas were perfused ex vivo with LDL and dextran of a smaller molecular radius. LDL (but not dextran) accumulated under the endothelium, indicating that LDL transcytosis occurs in intact vessels. We then confirmed that LDL transcytosis occurs in vitro using human coronary artery endothelial cells. An assay was developed to quantify transcytosis of DiI-LDL in real time using total internal reflection fluorescence microscopy. DiI-LDL transcytosis was inhibited by excess unlabelled LDL, while degradation of the LDL receptor by PCSK9 had no effect. Instead, LDL colocalized partially with the scavenger receptor SR-BI and overexpression of SR-BI increased LDL transcytosis; knockdown by siRNA significantly reduced it. Excess HDL, the canonical SR-BI ligand, significantly decreased LDL transcytosis. Aortas from SR-BI-deficient mice were perfused ex vivo with LDL and accumulated significantly less sub-endothelial LDL compared with wild-type littermates.",We developed an assay to quantify LDL transcytosis across endothelial cells and discovered an unexpected role for SR-BI. Elucidating the mechanisms of LDL transcytosis may identify novel targets for the prevention or therapy of atherosclerosis.,closed_qa
Do [ Trends in cholesterol levels in the adult population of São José do Rio Preto ]?,"To develop a survey about risk factors for atherosclerosis in a > or = 20-year-old population from São José do Rio Preto, and compare the results with those obtained in a similar survey in 1991. Quantitative survey with sample stratified by sex and age. The individuals (a total of 646, 303 men) where contacted in outpatient facilities from the Health Secretary and other populated sites, distributed by geographic zone and social class of different neighborhoods. The standard error of the survey was 4%, and the confidence interval was 95%. A) Mean HDL-cholesterol (only in 1997): male gender 43.7 +/- 15 mg/dL, female gender 49.6 +/- 13.5 mg/dL (p < 0.001, 95% CI 3.7 a 8.1). B) Mean total cholesterol in 1991 vs 1997: for the global population 192.5 +/- 48.9 mg/dL vs 190.5 +/- 42.5 mg/dL (p = NS); for men 187.6 +/- 53.3 mg/dL vs 190.5 +/- 42.5 mg/dL (p = NS); for women 196.8 +/- 40 mg/dL vs 187.6 +/- 37.8 mg/dL (p = 0.008, 95% CI 2.4 a 15.9). C) By regression analysis, the variables that correlated significantly with cholesterol levels, in both surveys, were: age (p < 0.001), systolic (p < 0.001) and diastolic (p < 0.001) arterial pressure, diet (p < 0.001). Female gender showed correlation only in the 1991 survey (p = 0.011), and sedentarism only in 1997 (p = 0.014).","The mean cholesterol levels in the adult population of São José do Rio Preto are very favorable and, in female gender, showed a significant decrease in the 1997 survey, relatively to the 1991 survey.",closed_qa
Is the dynactin complex required for cleavage plane specification in early Caenorhabditis elegans embryos?,"During metazoan development, cell diversity arises primarily from asymmetric cell divisions which are executed in two phases: segregation of cytoplasmic factors and positioning of the mitotic spindle - and hence the cleavage plane -relative to the axis of segregation. When polarized cells divide, spindle alignment probably occurs through the capture and subsequent shortening of astral microtubules by a site in the cortex. Here, we report that dynactin, the dynein-activator complex, is localized at cortical microtubule attachment sites and is necessary for mitotic spindle alignment in early Caenorhabditis elegans embryos. Using RNA interference techniques, we eliminated expression in early embryos of dnc-1 (the ortholog of the vertebrate gene for p150(Glued)) and dnc-2 (the ortholog of the vertebrate gene for p50/Dynamitin). In both cases, misalignment of mitotic spindles occurred, demonstrating that two components of the dynactin complex, DNC-1 and DNC-2, are necessary to align the spindle.",Dynactin complexes may serve as a tether for dynein at the cortex and allow dynein to produce forces on the astral microtubules required for mitotic spindle alignment.,closed_qa
Do methylation levels of the `` long interspersed nucleotide element-1 '' repetitive sequences predict survival of melanoma patients?,"The prognosis of cutaneous melanoma (CM) differs for patients with identical clinico-pathological stage, and no molecular markers discriminating the prognosis of stage III individuals have been established. Genome-wide alterations in DNA methylation are a common event in cancer. This study aimed to define the prognostic value of genomic DNA methylation levels in stage III CM patients. Overall level of genomic DNA methylation was measured using bisulfite pyrosequencing at three CpG sites (CpG1, CpG2, CpG3) of the Long Interspersed Nucleotide Element-1 (LINE-1) sequences in short-term CM cultures from 42 stage IIIC patients. The impact of LINE-1 methylation on overall survival (OS) was assessed using Cox regression and Kaplan-Meier analysis. Hypomethylation (i.e., methylation below median) at CpG2 and CpG3 sites significantly associated with improved prognosis of CM, CpG3 showing the strongest association. Patients with hypomethylated CpG3 had increased OS (P = 0.01, log-rank = 6.39) by Kaplan-Meyer analysis. Median OS of patients with hypomethylated or hypermethylated CpG3 were 31.9 and 11.5 months, respectively. The 5 year OS for patients with hypomethylated CpG3 was 48% compared to 7% for patients with hypermethylated sequences. Among the variables examined by Cox regression analysis, LINE-1 methylation at CpG2 and CpG3 was the only predictor of OS (Hazard Ratio = 2.63, for hypermethylated CpG3; 95% Confidence Interval: 1.21-5.69; P = 0.01).",LINE-1 methylation is identified as a molecular marker of prognosis for CM patients in stage IIIC. Evaluation of LINE-1 promises to represent a key tool for driving the most appropriate clinical management of stage III CM patients.,closed_qa
Is the mucosal adhesion receptor alpha4beta7 integrin selectively increased in lymphocytes stimulated with beta-lactoglobulin in children allergic to cow 's milk?,"It has been shown in mice that the integrin alpha4beta7 directs the migration of memory T cells into the gut-associated lymphoid tissue. However, little is known about T-cell homing mechanisms in children with food allergies. We investigated the expression of this and other integrins in children with different manifestations of cow's milk allergy (urticaria, atopic dermatitis, and wheezing). PBMCs were stimulated with beta-lactoglobulin, 1 of the major allergenic proteins in cow's milk, and tetanus toxoid. Integrin expression was studied by flow cytometric analysis after 1 week of culture. We found significantly higher expression of the alpha4beta7 integrin in cells from patients compared with control subjects with no allergies (P =. 005) when beta-lactoglobulin was used to stimulate the cells. alpha4beta7 integrin was also expressed at significantly higher levels in beta-lactoglobulin-stimulated cells than in tetanus toxoid-stimulated cells (P =.005). The alphaEbeta7 and the alpha4beta1 integrins were not upregulated by allergen stimulation. Most alpha4beta7 integrin-expressing cells were identified as CD4(+) T cells.","These results show that alpha4beta7 integrin expression after stimulation with beta-lactoglobulin correlates with the presumptive site of cow's milk sensitization (ie, the gut-associated lymphoid tissue but not with the site of symptoms of cow's milk allergy).",closed_qa
Is relief learning dependent on NMDA receptor activation in the nucleus accumbens?,"Recently, we demonstrated that the nucleus accumbens (NAC) is required for the acquisition and expression of relief memory. The purpose of this study was to investigate the role of NMDA receptors within the NAC in relief learning. The NMDA receptor antagonist 2-amino-5-phosphonopentanoic acid (AP-5) was injected into the NAC. The effects of these injections on the acquisition and expression of relief memory, as well as on the reactivity to aversive electric stimuli, were tested. Intra-accumbal AP-5 injections blocked the acquisition but not the expression of relief memory. Furthermore, reactivity to aversive electric stimuli was not affected by the AP-5 injections.",The present data indicate that NMDA-dependent plasticity within the NAC is crucial for the acquisition of relief memory.,closed_qa
"Is the MMP1 rs1799750 2G allele associated with increased low back pain , sciatica , and disability after lumbar disk herniation?","Previous studies indicate that genetic variants in genes encoding proteins like matrix metalloproteinase (MMP) enzymes may affect degeneration of the intervertebral disk. One such genetic variant is a single nucleotide polymorphism insertion in the promoter region of the MMP1 gene, that is, the MMP1 rs1799750 2G allele, which increases the MMP1 expression in vitro. In this study, we examined whether the MMP1 rs1799750 2G allele might be associated with disk degeneration and clinical outcome after lumbar disk herniation. A total of 260 patients with lumbar disk herniation and sciatic pain were included in this study and genotyped for the MMP1 rs1799750 2G allele. The present data showed no differences in the frequency of the MMP1 2G allele in patients recently diagnosed with disk herniation compared with pain-free controls. Moreover, in the patients, the MMP1 2G allele was not directly related to the disk degeneration. However, our data demonstrated that the MMP1 2G allele was associated with both pain and disability, that is, increased visual analog scale score, McGill Pain Questionnaire score, and Oswestry Disability Index score. Clearly, the patients homozygous for the 2G allele had more pain and reduced function compared with those carrying the 1G allele.","Our findings suggest that the MMP1 rs1799750 2G/2G genotype may contribute to low back pain, sciatica, and disability after lumbar disk herniation.",closed_qa
Does anti-miR-21 suppress Hepatocellular Carcinoma Growth via Broad Transcriptional Network Deregulation?,"Hepatocellular carcinoma (HCC) remains a significant clinical challenge with few therapeutic options available to cancer patients. MicroRNA 21-5p (miR-21) has been shown to be upregulated in HCC, but the contribution of this oncomiR to the maintenance of tumorigenic phenotype in liver cancer remains poorly understood. We have developed potent and specific single-stranded oligonucleotide inhibitors of miR-21 (anti-miRNAs) and used them to interrogate dependency on miR-21 in a panel of liver cancer cell lines. Treatment with anti-miR-21, but not with a mismatch control anti-miRNA, resulted in significant derepression of direct targets of miR-21 and led to loss of viability in the majority of HCC cell lines tested. Robust induction of caspase activity, apoptosis, and necrosis was noted in anti-miR-21-treated HCC cells. Furthermore, ablation of miR-21 activity resulted in inhibition of HCC cell migration and suppression of clonogenic growth. To better understand the consequences of miR-21 suppression, global gene expression profiling was performed on anti-miR-21-treated liver cancer cells, which revealed striking enrichment in miR-21 target genes and deregulation of multiple growth-promoting pathways. Finally, in vivo dependency on miR-21 was observed in two separate HCC tumor xenograft models. In summary, these data establish a clear role for miR-21 in the maintenance of tumorigenic phenotype in HCC in vitro and in vivo.",miR-21 is important for the maintenance of the tumorigenic phenotype of HCC and represents a target for pharmacologic intervention.,closed_qa
Is subclinical atherosclerosis increased in type 2 diabetic patients with microalbuminuria evaluated by intima-media thickness and pulse wave velocity?,"Microalbuminuria appears to be a risk marker for atherosclerosis. However, little is known about the direct association between microalbuminuria and vascular wall properties. Subjects were 306 type 2 diabetic patients with normoalbuminuria (N= 200) and microalbuminuria (N= 106). Those who had macroalbuminuria, atherosclerotic vascular disease, and/or ankle brachial index being less than 0.9 were not included. Brachial-ankle pulse wave velocity (PWV) was measured by automatic oscillometric method. Intima-media thickness (IMT) of the common carotid artery was measured using high-resolution B-mode ultrasonography and a computerized image-analyzing system. Average IMT, maximum IMT, and PWV were significantly higher in patients with microalbuminuria than in patients with normoalbuminuria. Both average and maximum IMT increased significantly as albuminuria increased in the microalbuminuric range. Average IMT and maximum IMT correlated significantly with PWV (P < 0.0001), although some patients exhibited increased levels of only PWV or IMT. By a multiple linear regression, age and albuminuria were independent predictors of IMT and PWV. Waist circumference was an independent predictor of IMT. Hypertension and hemoglobin A(1c) (HbA(1c)) were independent predictors of PWV. After adjustment for conventional cardiovascular risk factors including age, sex, waist circumference, HbA(1c), hypertension, hyperlipidemia, and smoking, albuminuria revealed a significant association with average IMT, maximum IMT, and PWV (P < 0.05, P < 0.0001, and P < 0.05, respectively).",A slight elevation of albuminuria is a significant determinant of IMT and PWV independent of conventional cardiovascular risk factors in type 2 diabetic patients with no clinical nephropathy or any vascular diseases. This significant association might point to a link in the pathogenesis of atherosclerosis and diabetic nephropathy.,closed_qa
Are overall and within-food group diversity associated with dietary quality in Belgium?,"To assess the relationship(s) between overall and within-food group diversity and several indices of dietary quality, such as dietary adequacy, moderation and balance, in Belgian adults. Dietary quality indices were derived from the food-based dietary guidelines (FBDG). Information on food intake was collected with two 24 h recalls. Average overall and within-food group diversity scores and dietary adequacy, moderation and balance scores were calculated. A representative sample (n 3245) of the Belgian population at the age of 15 years and older was randomly selected from the National Register using a multistage stratified procedure. For both men and women, total dietary diversity score increased with age and smokers had a significantly lower overall diversity score than non- or former smokers. A positive association was found between overall dietary diversity and both dietary adequacy and balance. For most food groups, especially bread and cereals, vegetables, dairy products and spreadable fats, within-food group dietary diversity was positively associated with the fulfillment of the specific recommendation for the intake of that food group. An inverse association was found between dietary diversity within the meat and the energy-dense, nutrient-poor food groups and dietary balance. Diversity within the dairy and spreadable fat group was responsible for the strongest increase in overall dietary adequacy and balance.","Overall dietary diversity is a useful indicator of dietary quality in Belgium. For some food groups, within-food group dietary diversity is a useful indicator of compliance with the specific FBDG for intake of that food group.",closed_qa
Are glomerular filtration rate and blood pressure unchanged by increased sodium intake in atorvastatin-treated healthy men?,"Improved cardiovascular survival during statin treatment might be due to effects in addition to cholesterol lowering. We hypothesize that sodium intake affects renal function and vasoactive hormones in atorvastatin-treated healthy subjects. In a randomized, placebo-controlled, double-blind, crossover study we measured the effect of a moderate change in sodium intake on glomerular filtration rate (GFR), blood pressure (BP), renal tubular function, plasma concentrations of vasoactive hormones and urinary excretion of aquaporin-2 (u-AQP2) in 22 healthy subjects. The subjects were randomized to standardized fluid intake and diet corresponding to the need for calories in the 4 days before each of the 2 examination days. In one of the periods they were randomized to receive sodium chloride tablets (2 g) thrice daily for 4 days. Two doses of atorvastatin (80 mg) were given; one at 2200 h the evening before the study day, the other at 0830 h in the morning. 24-h urinary sodium excretion increased by 23%. GFR and BP were unchanged. Sodium clearance, fractional excretion of sodium and u-AQP2 increased, whereas free water clearance decreased during high sodium intake. PRC and aldosterone were suppressed during the high sodium diet.","A change in dietary sodium intake of approximately 100 mmol daily does not change GFR and BP in atorvastatin-treated healthy men. The lack of change in BP might reflect that the subjects studied were not sodium sensitive, or that atorvastatin treatment modified sodium sensitivity.",closed_qa
Executive function impairments in children with attention-deficit hyperactivity disorder: do they differ between school and home environments?,"The primary purpose of this study was to compare parent and teacher reports of executive function (EF), as measured by the Behavior Rating Inventory of Executive Function (BRIEF), on a sample of children who had been diagnosed with attention-deficit hyperactivity disorder (ADHD). If differences were found, the secondary purpose was to explore these differences by determining which of the 8 BRIEF scales, each representing a different EF, would best predict symptoms of ADHD by the 2 proxy reporters. We performed a secondary data analysis on the assessment information pertaining to 240 children, aged 5 to 15 years, accessing services at an urban Toronto psychiatric program specializing in ADHD. We compared parent and teacher ratings and applied logistical binary regressions to predict the probability of a child's meeting the criteria for clinically significant inattention and hyperactivity-impulsivity on the ADHD Rating Scale-IV. As expected, teachers reported more variety and severity of EF impairments than did parents. In addition, teachers used inhibition, organization of materials, and planning and organizing as predictors of ADHD symptoms, whereas parents relied predominantly on inhibition, working memory, and planning and organizing as the risk factors.","Consistent with the current theory, EF impairments, particularly in inhibition, appear to underlie the behavioural manifestation of ADHD. However, parents and teachers do not always agree when reporting EF impairments at home and in school. Thus information from both types of informants is essential for understanding and treating children with this disorder.",closed_qa
Is lower free testosterone level correlated with left ventricular diastolic dysfunction in asymptomatic middle-aged men with type 2 diabetes mellitus?,"Low testosterone (T) level is associated with cardiovascular risk factors. However, the relationship between T level and heart function in asymptomatic men with type 2 diabetes mellitus (T2DM) is unknown. A total of 325 men were recruited who had no history, symptoms, or signs of heart disease. T2DM had significantly lower free T (FT) levels than those with normal glucose metabolism (NGM) (428 ± 38 pmol/l vs. 444 ± 38 pmol/l, p = 0.0002), and had an increased risk of LVDD (66.1% vs. 31.8%). There was a significant difference in FT level between subjects with and without LVDD among those with T2DM (421 ± 37 pmol/l vs. 442 ± 40 pmol/l, p = 0.0007), but not among those with NGM (439 ± 37 pmol/l vs. 447 ± 39 pmol/l, p = 0.247) or in the group overall (426 ± 38 pmol/l vs. 445 ± 38 pmol/l, p = 0.156). Lower FT level was significantly associated with LVDD [univariate odds ratio (OR) = 0.63, p = 0.032; multivariate OR = 0.71, p = 0.039]. Receiver operating characteristic curve analysis of the usefulness of FT level for predicting LVDD showed an area under the curve (AUC) of 0.85 for T2DM (p < 0.001) and 0.66 for NGM (p < 0.05). FT level had a high predictive value for LVDD in T2DM (83% for FT < 414 pmol/l), but a low predictive value in NGM (61% for FT < 423 pmol/l). Comparison of the AUCs showed that FT level was more strongly correlated with LVDD in T2DM than in NGM.",Lower FT level is correlated with LVDD in asymptomatic middle-aged men with T2DM.,closed_qa
Do preterm male infants need more initial respiratory and circulatory support than female infants?,"The aim of this study was to investigate possible gender-related differences in clinical parameters during the first week of life that could explain the higher morbidity and mortality of preterm male infants. In total, 130 clinical variables were collected from 236 inborn infants (130 male and 106 female infants) with gestational age (GA) < 29 wk. A subgroup of 175 extremely low birthweight infants (ELBW) < 1000 g (n = 86 males; n = 89 females) was analysed separately. At 6 postnatal h, 60.8% of the male infants needed mechanical ventilation versus 46.2% of the females (p = 0.026). Chronic lung disease (CLD) developed in 36.2% of males versus 9.8% of female infants (p = 0.004). Inotrope support with dopamine was used in more than 50% of the infants; additional inotrope support to dopamine was needed by 19.4% of male and 9.7% of female infants (p = 0.041). The gender-related difference in need for inotrope support was more evident among the ELBW infants; 67.1% of male infants needed inotrope support versus 50.6% of females (p = 0.028). At 12-24 h, male ELBW infants had lower minimum mean arterial blood pressure (mean (SD) 25(4) mmHg vs 28(6) mmHg, p = 0.004)) and lower minimum PaCO2 than females infants (4.3 (1.1) kPa vs 4.7 (0.9) kPa, p = 0.043).",There are early gender-related differences in need for ventilatory and circulatory support that may contribute to the worse long-term outcome in prematurely born male infants.,closed_qa
Do baicalein protect pancreatic injury in rats with severe acute pancreatitis by inhibiting pro-inflammatory cytokines expression?,"Inflammatory cytokines is a key point in the development of pathogenesis of SAP. Inflammatory mediators TNF-α and IL-6 are up-regulated in serum of patients with SAP and become good discriminators of SAP severity. In this study, we investigated the treatment effectiveness of Baicalein on SAP rat model. Baicalein was intravenously injected immediately after SAP induction in rats. The mortality, histopathology score, ascites fluid volume, and pro-inflammatory cytokine production were evaluated at 12 h after SAP induction. Baicalein decreased the pancreatic histopathology score, reduced ascites fluid production, protected against pancreatic injury, and improved survival in rats with SAP. The serum IL-6 and TNF-α concentrations were also down-regulated by Baicalein.",Baicalein demonstrated a well curative capability on rats with SAP. The mechanism may be alleviateing pancreatic injury and inhibiting pro-inflammatory cytokines expression.,closed_qa
Do effects of verb familiarity on finiteness marking in children with specific language impairment?,"Children with specific language impairment (SLI) have known deficits in the verb lexicon and finiteness marking. This study investigated a potential relationship between these 2 variables in children with SLI and 2 control groups considering predictions from 2 different theoretical perspectives, morphosyntactic versus morphophonological. Children with SLI, age-equivalent, and language-equivalent (LE) control children (n=59) completed an experimental sentence imitation task that generated estimates of children's finiteness accuracy under 2 levels of verb familiarity--familiar real verbs versus unfamiliar real verbs--in clausal sites marked for finiteness. Imitations were coded and analyzed for overall accuracy as well as finiteness marking and verb root imitation accuracy. Statistical comparisons revealed that children with SLI did not differ from LE children and were less accurate than age-equivalent children on all dependent variables: overall imitation, finiteness marking imitation, and verb root imitation accuracy. A significant Group×Condition interaction for finiteness marking revealed lower levels of accuracy on unfamiliar verbs for the SLI and LE groups only.","Findings indicate a relationship between verb familiarity and finiteness marking in children with SLI and younger controls and help clarify the roles of morphosyntax, verb lexicon, and morphophonology.",closed_qa
The risk of bacteria in foam sclerotherapy: does the condition of the air in outpatient vs. operating rooms make a difference?,"Foam sclerotherapy has been one of the most frequently applied therapeutic methods for the treatment of varicose veins and venous malformation. Few studies have investigated the sterile condition of the air used for foam creation. To evaluate the bacterial conditions in foam created from the air in outpatient and operating rooms used for sclerotherapy treatment, in order to provide the basis for clinical applications in foam sclerotherapy. In this study, we measured the amount of airborne microorganisms in the air in the operating room, and in the outpatient room, the polidocanol (POL) foam created using the air in the respective rooms, and the microorganisms present in the liquid POL. We used the settle plate method for air sampling. We used the Tessari method to generate foam. The experiment was repeated three times. Typical bacterial colonies were formed on nutrient agar plates in both the outpatient room and operating room air groups. No colonies were cultivated in the liquid POL. Although the use of sterile or nonsterile air in sclerotherapy produces significantly different results in the counts of colony-forming units, there was no difference in the foam created using sterile or nonsterile air (i.e. no colonies were cultivated on either foam).",There is no increased risk of infection when using foam sclerotherapy in outpatient rooms compared with using foam created under sterile operating-room conditions.,closed_qa
Is expression level of dihydropyrimidine dehydrogenase associated with clinical outcome in patients with T1G3 bladder cancer treated with Bacillus Calmette-Guerin?,"Recently, it has been shown that 5-fluorouracil (5-FU) with a strong dihydropyrimidine dehydrogenase (DPD) inhibitor elicits a significant response in bladder cancer with a high level of DPD. However, only a few studies investigated the association between the level of the enzyme that regulates the metabolism of 5-FU and prognosis in bladder cancer. Furthermore, to our knowledge, there has also been no such report in T1G3 bladder tumors treated with BCG. Therefore, we evaluated enzymes that regulate the metabolism of 5-FU in T1G3 tumors treated with BCG immunotherapy using the Danenberg tumor profile (DTP) method, a highly accurate measurement of RNA from paraffin-embedded specimens. This study included 28 patients with T1G3 bladder cancer, each of whom underwent complete transurethral tumor resection and BCG intravesical instillation at our institution. The median follow-up period was 39 months (range, 3 to 159 months). The DTP method was used to analyze the mRNA expression of 3 enzymes related to 5-FU: DPD, orotate phosphoribosyltransferase (OPRT), and thymidylate synthase (TS). Among the 28 patients, 13 developed recurrences (46.4%) and 5 experienced disease progression (17.9%). An elevated DPD mRNA level was significantly associated with recurrence (p = 0.048) and progression (p = 0.045). However, TS and OPRT mRNA levels were not significantly associated with any other clinical features or outcomes. Furthermore, the high DPD group had a significantly lower recurrence-free survival rate than the low DPD group (p = 0.047). Among patients with low DPD, the 2- and 5-year recurrence-free survival rates were 88.9% and 74.1%, respectively; while among patients with high DPD, the corresponding rates were 61.3% and 36.8%, respectively. TS and OPRT were not significantly associated with recurrence-free survival rates.",DPD is significantly associated with recurrence and progression among T1G3 bladder cancer patients treated with BCG.,closed_qa
